"","Year","Required","Major","Excitement","Siblings","BBall","Hobby","GrandCanyon","DogsOrCats","Sushi","Plane","Seattle"
"59",1,1,"Political Science",5,3,0,"arguing",0,"Dogs",1,"Not at all confident",217
"60",4,1,"Soc",5,2,0,"Fishing",0,"Dogs",8,"Very confident",180
"61",1,0,"Undecided",3,1,0,"Watching dramas",0,"Don't like either",0,"Not very confident",168
"62",3,0,"chemistry",4,1,10,"playing board games",1,"Love both!",0,"Not very confident",299
"63",1,0,"English",3,1,0,"Playing violin",0,"Love both!",0,"Not at all confident",300
"64",1,1,"Neuroscience",3,2,2,"Music production",0,"Cats",2,"Not very confident",250
"65",3,1,"Cell and Molecular Biology ",5,2,1,"analyzing my dreams ",1,"Don't like either",1,"Not at all confident",NA
"66",2,1,"Environmental Science and Policy",4,1,2,"Dance",0,"Love both!",1,"Not at all confident",300
"67",3,1,"Biology",3,2,6,"writing",1,"Love both!",0,"Not very confident",250
"68",4,1,"Biology",3,3,0,"Painting",0,"Dogs",0,"Not at all confident",273
"69",2,1,"Neuroscience",3,1,2,"Video Games",0,"Dogs",5,"Somewhat confident",105
"70",3,0,"Linguistics + Computer Science",5,2,9,"Crochet",0,"Love both!",1,"Somewhat confident",122
"71",3,1,"Political Science",5,4,10,"Skiing",0,"Dogs",4,"Somewhat confident",180
"72",1,1,"Global Health and Biology",3,1,3,"Volleyball",0,"Dogs",4,"Not at all confident",150
